time,temperature,vol1,vol2
0.000,299.3,0.849,-0.468
0.000,299.4,0.849,-0.468
0.050,299.4,0.849,-0.468
0.100,299.3,0.849,-0.468
0.150,299.4,0.849,-0.468
0.200,299.4,0.849,-0.468
0.250,299.4,0.849,-0.468
0.300,299.4,0.849,-0.468
0.350,299.4,0.849,-0.468
0.400,299.4,0.854,-0.468
0.450,299.4,0.849,-0.468
0.500,299.4,0.849,-0.468
0.550,299.4,0.849,-0.468
0.600,299.4,0.849,-0.468
0.650,299.4,0.849,-0.468
0.700,299.4,0.849,-0.468
0.750,299.4,0.849,-0.468
0.800,299.4,0.849,-0.468
0.850,299.4,0.849,-0.468
0.900,299.3,0.849,-0.468
0.950,299.4,0.849,-0.468
1.000,299.4,0.849,-0.468
1.050,299.4,0.849,-0.468
1.100,299.4,0.849,-0.468
1.150,299.4,0.849,-0.468
1.200,299.4,0.849,-0.468
1.250,299.4,0.849,-0.468
1.300,299.4,0.849,-0.468
1.350,299.4,0.849,-0.468
1.400,299.4,0.849,-0.468
1.450,299.4,0.844,-0.468
1.500,299.4,0.849,-0.468
1.550,299.4,0.844,-0.468
1.600,299.3,0.849,-0.468
1.650,299.4,0.849,-0.468
1.700,299.3,0.849,-0.468
1.750,299.4,0.849,-0.468
1.800,299.4,0.849,-0.468
1.850,299.4,0.849,-0.468
1.900,299.4,0.849,-0.468
1.950,299.4,0.849,-0.468
2.000,299.4,0.849,-0.468
2.050,299.4,0.849,-0.468
2.100,299.4,0.849,-0.468
2.150,299.4,0.849,-0.468
2.200,299.4,0.849,-0.468
2.250,299.4,0.849,-0.468
2.300,299.4,0.849,-0.468
2.350,299.3,0.849,-0.468
2.400,299.4,0.849,-0.468
2.450,299.4,0.849,-0.468
2.500,299.4,0.844,-0.468
2.550,299.4,0.849,-0.468
2.600,299.4,0.849,-0.468
2.650,299.4,0.849,-0.468
2.700,299.4,0.844,-0.468
2.750,299.4,0.849,-0.464
2.800,299.4,0.849,-0.468
2.850,299.4,0.849,-0.468
2.900,299.4,0.849,-0.468
2.950,299.3,0.849,-0.468
3.000,299.4,0.849,-0.468
3.050,299.3,0.849,-0.468
3.100,299.4,0.849,-0.468
3.150,299.4,0.849,-0.468
3.200,299.4,0.849,-0.468
3.250,299.3,0.849,-0.468
3.300,299.4,0.849,-0.468
3.350,299.4,0.854,-0.474
3.400,299.4,0.849,-0.468
3.450,299.3,0.849,-0.468
3.500,299.4,0.849,-0.468
3.550,299.3,0.849,-0.468
3.600,299.4,0.849,-0.468
3.650,299.3,0.849,-0.468
3.700,299.3,0.849,-0.468
3.750,299.3,0.849,-0.468
3.800,299.4,0.849,-0.468
3.850,299.4,0.849,-0.464
3.900,299.4,0.849,-0.468
3.950,299.3,0.849,-0.468
4.000,299.4,0.849,-0.464
4.050,299.3,0.849,-0.468
4.100,299.4,0.849,-0.468
4.150,299.3,0.849,-0.468
4.200,299.4,0.849,-0.468
4.250,299.3,0.849,-0.468
4.300,299.4,0.849,-0.468
4.350,299.3,0.849,-0.468
4.400,299.4,0.844,-0.468
4.450,299.3,0.849,-0.468
4.500,299.4,0.849,-0.468
4.550,299.3,0.844,-0.468
4.600,299.4,0.849,-0.468
4.650,299.4,0.849,-0.468
4.700,299.4,0.849,-0.468
4.750,299.4,0.849,-0.468
4.800,299.4,0.854,-0.468
4.850,299.3,0.849,-0.468
4.900,299.4,0.849,-0.468
4.950,299.4,0.849,-0.468
5.000,299.4,0.849,-0.468
5.050,299.3,0.844,-0.468
5.100,299.4,0.849,-0.468
5.150,299.4,0.849,-0.468
5.200,299.4,0.849,-0.468
5.250,299.3,0.849,-0.468
5.300,299.4,0.849,-0.468
5.350,299.4,0.849,-0.468
5.400,299.4,0.849,-0.468
5.450,299.3,0.849,-0.464
5.500,299.4,0.849,-0.468
5.550,299.3,0.849,-0.468
5.600,299.4,0.849,-0.464
5.650,299.4,0.844,-0.468
5.700,299.4,0.849,-0.468
5.750,299.3,0.849,-0.468
5.800,299.4,0.849,-0.468
5.850,299.3,0.849,-0.468
5.900,299.4,0.849,-0.464
5.950,299.3,0.849,-0.468
6.000,299.4,0.849,-0.468
6.050,299.4,0.849,-0.468
6.100,299.4,0.849,-0.468
6.150,299.3,0.849,-0.468
6.200,299.4,0.849,-0.468
6.250,299.3,0.849,-0.468
6.300,299.4,0.849,-0.468
6.350,299.3,0.849,-0.468
6.400,299.4,0.844,-0.468
6.450,299.4,0.849,-0.468
6.500,299.4,0.849,-0.468
6.550,299.3,0.849,-0.468
6.600,299.4,0.844,-0.468
6.650,299.3,0.849,-0.468
6.700,299.4,0.849,-0.468
6.750,299.3,0.849,-0.468
6.800,299.4,0.849,-0.468
6.850,299.3,0.849,-0.468
6.900,299.4,0.849,-0.468
6.950,299.3,0.849,-0.468
7.000,299.4,0.844,-0.468
7.050,299.3,0.849,-0.468
7.100,299.4,0.849,-0.468
7.150,299.3,0.849,-0.468
7.200,299.4,0.849,-0.468
7.250,299.4,0.849,-0.468
7.300,299.4,0.849,-0.468
7.350,299.3,0.854,-0.468
7.400,299.4,0.849,-0.468
